編號,型式,測照地點,測照方向,速限,行政區,測照型式,座標緯度,座標經度
1,非線圈數位-雷射,民族一路與十全一路口,北向南,60,三民,闖紅燈,22.644858,120.314341
2,線圈數位,九如一路與平等路口,西向東,50,三民,闖紅燈,22.639828,120.32043
3,線圈數位,同盟一路高醫大門,西向東,50,三民,闖紅燈,22.649115,120.310069
4,線圈數位,河堤路與民族一路543巷口,北向南,50,三民,闖紅燈,22.666989,120.314915
5,雷達數位,民族一路268號前,南北向,60,三民,超速,22.649855,120.314951
6,線圈數位,九如一路與大順二路口,東向西,50,三民,闖紅燈,22.639074,120.328505
7,線圈數位,中山高西側便道與九如一路口,北向南,違左,三民,違左,22.63776,120.336788
8,線圈數位,九如一路與中山高東側便道,東向西,違左,三民,違左,22.637416,120.337787
9,線圈數位,大昌二路420巷口,南向北,50,三民,闖紅燈,22.649923,120.331829
10,線圈數位,民族一路與承德路口,南向北,60,三民,闖紅燈,22.642304,120.314199
11,雷達數位,九如一路光武國小旁,東向西,50,三民,超速,22.638255,120.333844
12,雷達數位,明誠一路 280 號前,東向西,50,三民,超速,22.6596,120.325981
13,雷達數位,明誠一路528號對面,西向東,50,三民,超速,22.65996,120.320013
14,雷達數位,九如三路(中都街與九如大橋中段),東向西,50,三民,超速,22.643929,120.286111
15,線圈數位,民族一路與裕誠路口（機車道）,南向北,40,三民,闖紅燈,22.663258,120.316167
16,非線圈數位-雷射(雷達),大中一路與鼎中路口東向西左側,東向西,50,三民,闖紅燈,22.676522,120.323444
17,非線圈數位-雷射(雷達),大中一路與鼎中路口東向西右側,東向西,50,三民,闖紅燈兼超速,22.676705,120.323591
18,非線圈數位-雷射,大中一路與鼎中路口西向東,東向西,違左,三民,違左,22.67667,120.323124
19,非線圈數位-雷射,九如一路與大昌二路口,西向東,50,三民,闖紅燈,22.638509,120.331651
20,雷達數位,大昌二路28號前,南向北,50,三民,超速,22.641332,120.332263
21,非線圈數位-雷射,民族一路與建工路口,南向北,40,三民,闖紅燈兼超速,22.647351,120.31487
22,線圈數位,民族一路與裕誠路口(快車道),北向南,60,三民,闖紅燈,22.663786,120.316076
23,線圈數位,自由一路與同盟一路口,北向南,50,三民,闖紅燈,22.650259,120.30907
24,線圈數位,澄清路與澄和路口,北向南,50,三民,闖紅燈,22.644442,120.346393
25,線圈數位,明誠一路與大裕路口,西向東,50,三民,闖紅燈,22.659721,120.328428
26,雷達數位,同盟三路與十全三路口往西220公尺處,東西向,50,三民,超速,22.647367,120.284286
27,線圈數位,三民區九如一路與民族一路口,東向西,50,三民,闖紅燈,22.64043,120.314691
28,線圈數位,三民區明誠一路與民族一路口,東向西,50,三民,闖紅燈,22.659792,120.316235
29,雷達數位,大社區和平路一段710-1號前,北向南,60,大社,超速,22.732006,120.360507
30,非線圈數位-雷射,大社區和平路二段與中華路14巷口,北向南,60,大社,闖紅燈,22.725448,120.359881
31,雷達數位,大社區中山路521-9號旁,東向西,50,大社,超速,22.730787,120.357469
32,雷達數位,大社區學府路94巷口前50公尺處(往大社市區),東向西,40,大社,超速,22.73555525,120.3754401
33,線圈數位,大寮區鳳林二路與濃公路口,北向南,70,大寮,闖紅燈,22.574073,120.409924
34,雷達數位,大寮區高屏大橋下橋處,東西向,70,大寮,超速,22.641577,120.413292
35,線圈數位,大寮區鳳屏一路民貴街口,東向西,50,大寮,闖紅燈,22.631303,120.385168
36,線圈數位,大寮區鳳屏二路江山路口,西向東,70,大寮,闖紅燈,22.640858,120.408755
37,雷達數位,大寮區台29線108.4公里處,北向南,60,大寮,超速,22.532355,120.414757
38,雷達數位,大寮區台29線96.5公里處,南向北,50,大寮,超速,22.625746,120.42427
39,雷達數位,台88快速道東向7.4公里處,西向東,90,大寮,超速,22.586541,120.409297
40,雷達數位,台88快速道西向10公里處大發交流道前,東向西,90,大寮,超速,22.592665,120.433383
41,線圈數位,大寮區鳳林一路與鳳林路四段,北向南,70,大寮,闖紅燈,22.547372,120.411418
42,非線圈數位-雷射,大寮區市道188號(內坑路)與高72線路口,東向西,60,大寮,闖紅燈兼超速,22.589377,120.384321
43,雷達數位,大寮區新厝路119-31號以西60公尺處,東西向,50,大寮,超速,22.561409,120.403839
44,非線圈數位-雷射,大寮區內坑路161之21號前路口,西向東,60,大寮,闖紅燈,22.589095,120.379982
45,線圈數位,大寮區鳳林二路、光華路口,南向北,70,大寮,闖紅燈,22.581044,120.407373
46,雷達數位,大寮區河堤路三段與公園街口前,北向南,50,大寮,超速,22.569545,120.433491
47,線圈數位,大寮區光明路二段與大寮路口,北向南,60,大寮,闖紅燈,22.591168,120.419689
48,非線圈數位-雷射,大寮區市道188號與鳳林二路口(快車道),西向東,60,大寮,闖紅燈兼路口科技執法監測,22.586404,120.404609
49,非線圈數位-雷射,大寮區市道188號與鳳林二路口(慢車道),西向東,40,大寮,闖紅燈兼路口科技執法監測,22.586277,120.404632
50,雷達數位,大樹區大坑路台29線86K處,南北向,70,大樹,超速,22.7077592,120.4392542
51,非線圈數位-雷射,大樹區興山路興山橋旁,西向東,50,大樹,闖紅燈,22.694601,120.423901
52,雷達數位,大樹區台22線14K處,東西向,50,大樹,超速,22.7750081,120.4304487
53,雷達數位,高松路與松正路口,東向西,50,小港,超速,22.57036,120.376787
54,非線圈數位-雷射,南星路與中林路口,北向南,40,小港,闖紅燈,22.521514,120.346062
55,非線圈數位-雷射,南星路與中林路口,南向北,40,小港,闖紅燈,22.521088,120.346679
56,雷達數位,沿海一路與中鋼路口（南下）,北向南,50,小港,超速,22.561512,120.356541
57,雷達數位,東亞南路與平和二路口,南向北,60,小港,超速,22.55905,120.334427
58,雷達數位,東亞南路與平和七路口,北向南,60,小港,超速,22.561942,120.332208
59,雷達數位,南星三路段(沿海路以北700公尺處),北向南,40,小港,超速,22.513892,120.354638
60,非線圈數位-雷射,中安路與明聖街230巷口,西向東,50,小港,闖紅燈,22.583787,120.346222
61,非線圈數位-雷射,沿海一路與宏平路口,南向北,50,小港,闖紅燈,22.568972,120.350122
62,雷達數位,中山四路段(平和東路以北50公尺處),北向南,40,小港,超速,22.571115,120.336559
63,非線圈數位-雷射(雷達),沿海三路與鳳鳴路口,北向南,50,小港,闖紅燈兼超速,22.510919,120.362403
64,線圈數位,南星路與丹山路口,北向南,50,小港,闖紅燈,22.509518,120.359179
65,雷達數位,小港區高坪18路與高坪15路口,西向東,50,小港,超速,22.554989,120.394563
66,雷達數位,高鳳路512-1號,南向北,50,小港,超速,22.582222,120.3703474
67,線圈數位,中山四路與大業北路口,北向南,60,小港,闖紅燈,22.569507,120.342561
68,雷達數位,中安路223號前,東向西,50,小港,超速,22.583259,120.340726
69,非線圈數位-雷射,小港區沿海一路與漢民路口,北向南,50,小港,闖紅燈,22.5666014,120.3520703
70,數位雷達,小港區飛機路153號濟南里活動中心旁,西向東,40,小港,超速,22.573195,120.359292
71,非線圈數位-雷射,小港區沿海一路與康莊路口,北向南,60/40,小港,闖紅燈,22.568001,120.350672
72,線圈數位,仁武區澄觀路八德南路口,東向西,50,仁武,闖紅燈,22.680219,120.340471
73,線圈數位,仁武區鳳仁路新庄路口,北向南,60,仁武,闖紅燈,22.693321,120.349358
74,雷達數位,仁武區義大二路與公館1巷3號前,北向南,60,仁武,超速,22.715529,120.390008
75,雷達數位,仁武區鳳仁路5-13號前,南北向,60,仁武,超速,22.675001,120.359083
76,雷達數位,仁武區水管路三段(高52-1線4K處),東向西,60,仁武,超速,22.702817,120.364
77,雷達數位,仁武區澄觀路一段(新庄路以西150公尺處),北向南,60,仁武,超速,22.694105,120.357936
78,非線圈數位-雷射,仁武區仁雄路與澄仁路口,西向東,50,仁武,闖紅燈兼超速,22.677249,120.345926
79,非線圈數位-雷射(雷達),仁武區鳳仁路與成功路口,南向北,60,仁武,闖紅燈,22.676082,120.358514
80,非線圈數位-雷射(雷達),仁武區水管路與澄觀路口,東向西,60,仁武,闖紅燈兼超速,22.703672,120.360516
81,雷達數位,仁武區鳳仁路183線2.45公里中央分隔島,北向南,60,仁武,超速,22.710386,120.339392
82,非線圈數位-雷射(雷達),仁武區高楠公路與八德二路口,南向北,60/40,仁武,闖紅燈,22.70100922,120.3234465
83,非線圈數位-雷射,仁武區澄觀路與仁林路口,南向北,60,仁武,闖紅燈,22.7013342,120.3597642
84,非線圈數位-雷射,仁武區澄觀路與鳳仁路口,東向西,60,仁武,闖紅燈,22.6860925,120.3532559
85,線圈數位,仁武區高楠公路高楠新村口,北向南,60/40,仁武,闖紅燈,22.692117,120.321556
86,雷達數位,內門區旗文路(台三線401.88K),北向南,60,內門,超速,22.917,120.460793
87,雷達數位,六龜區旗六公路新威國小前,西向東,50,六龜,超速,22.897559,120.626681
88,非線圈數位-雷射(雷達),六龜區台28線茂林國家風景區管理處前路口,北向南,50,六龜,闖紅燈兼超速,22.889641,120.624283
89,雷達數位,六龜區台27甲線3.7K處,南向北,50,六龜,超速,22.980102,120.638281
90,線圈數位,左營區翠華路與翠峰路口,南向北,60,左營,闖紅燈,22.670548,120.289996
91,線圈數位,左營區博愛三路與崇德路口,南向北,50,左營,闖紅燈,22.674621,120.305381
92,線圈數位,左營區新庄仔路與自由二路口,西向東,50,左營,闖紅燈,22.668627,120.309615
93,線圈數位,華夏路與新庄仔路口,南向北,60,左營,闖紅燈,22.674582,120.299512
94,線圈數位,左營區博愛三路與文自路口,北向南,60,左營,闖紅燈,22.672869,120.3045
95,非線圈數位-雷射,左營區大中二路與華夏路口,西向東,40,左營,闖紅燈兼路口科技執法監測,22.683281,120.307615
96,線圈數位,左營區華夏路337巷口,南向北,50,左營,闖紅燈,22.671649,120.297555
97,線圈數位,左營區大中二路與自由四路口,東向西,50,左營,闖紅燈,22.679451,120.31378
98,雷達數位,左營區大中高架道路華夏匝道口,西向東,60,左營,超速,22.684857,120.30621
99,雷達數位,左營區大中高架道路文川匝道口,東向西,60,左營,超速,22.68351,120.307609
100,線圈數位,左營區高鐵路與曾子路口,北向南,50,左營,闖紅燈,22.683206,120.303487
101,非線圈數位-雷射(雷達),左營區翠華路與明潭路口,北向南,60,左營,闖紅燈,22.68934362,120.3028615
102,非線圈數位-雷射,左營區博愛二路與裕誠路口,北向南,50,左營,闖紅燈,22.665878,120.3031445
103,非線圈數位-雷射,左營區高鐵路與大中二路口,北向南,50,左營,闖紅燈,22.6852298,120.3064302
104,非線圈數位-雷射,左營區民族一路與大中一路,南向北,60/40,左營,闖紅燈,22.678539,120.319057
105,非線圈數位-雷射,左營區博愛二路與新庄仔路口/新莊一路,南向北,50/40,左營,闖紅燈兼路口科技執法監測,22.669986,120.303403
106,雷達數位,左營區翠華路1686之1號前,南向北,60,左營,超速,22.692727,120.302717
107,線圈數位,左營區介壽路與先鋒路口 ,西向東,50,左營,闖紅燈,22.681307,120.282484
108,非線圈數位-雷射(雷達),左營區翠華路與站前南路,南向北,60,左營,闖紅燈,22.68727476,120.3026676
109,非線圈數位-雷射,左營區翠華路與華榮路口,北向南,60/40,左營,闖紅燈,22.672381,120.291402
110,非線圈數位-雷射,左營區翠華路與崇德路口,南向北,60,左營,闖紅燈,22.678238,120.297399
111,線圈數位,永安區保安路與維新路口,南向北,60,永安,闖紅燈,22.808171,120.243271
112,雷達數位,永安區台17線(保安路)201.2K處,南北向,60,永安,超速,22.818576,120.240473
113,雷達數位,田寮區台28線鹿埔路19號前,西向東,50,田寮,超速,22.887613,120.423279
114,雷達數位,田寮區台28線20K往西436公尺處(往阿蓮方向) ,東向西,50,田寮,超速,22.89416,120.40055
115,線圈數位,岡山區嘉新東路與聖森路口,西向東,60,岡山,闖紅燈,22.807525,120.310855
116,非線圈數位-雷射,岡山區介壽東路與和平路口,東向西,60,岡山,闖紅燈兼超速,22.785052,120.304177
117,雷達數位,岡山區岡山北路267號前,北向南,60,岡山,超速,22.817284,120.273585
118,雷達數位,岡山區嘉峰路高鐵橋下,北向南,50,岡山,超速,22.832904,120.315478
119,非線圈數位-雷射,岡山區大德一路與中山北路,西向東,50,岡山,闖紅燈,22.796617,120.298459
120,非線圈數位-雷射,岡山區介壽東路與岡燕路,東向西,60/40,岡山,闖紅燈,22.786663,120.315353
121,線圈數位,林園區沿海路二段與林園南路口,西向東,60,林園,闖紅燈,22.500326,120.3961
122,雷達數位,林園區台25線14.5公里處,北向南,60,林園,超速,22.534345,120.405395
123,非線圈數位-雷射(雷達),林園區中門路與南星路口(快車道),南向北,50,林園,闖紅燈兼超速,22.510351,120.362804
124,非線圈數位-雷射(雷達),林園區中門路與南星路口(慢車道),南向北,40,林園,闖紅燈兼超速,22.510415,120.362876
125,線圈數位,林園區鳳林路三段與潭頭路口,北向南,60,林園,闖紅燈,22.522011,120.397012
126,雷達數位,阿蓮區台28線高鐵高架處,東向西,60,阿蓮,超速,22.877957,120.30801
127,雷達數位,阿蓮區復安路與玉庫路口(台19甲線往阿蓮市區),南向北,60,阿蓮,超速,22.84498077,120.3228534
128,線圈數位,中華三路與民生二路口,北向南,50,前金,闖紅燈,22.626292,120.296966
129,線圈數位,一心一路與和平二路口,西向東,50,前鎮,闖紅燈,22.606933,120.320551
130,線圈數位,一心一路與光華二路口,東向西,50,前鎮,闖紅燈,22.608536,120.317053
131,線圈數位,保泰路與瑞隆路口,南向北,50,前鎮,闖紅燈,22.605716,120.338568
132,線圈數位,凱旋三路與二聖一路口,北向南,50,前鎮,闖紅燈,22.612075,120.32679
133,線圈數位,中山二路與文橫三路口,南向北,60,前鎮,闖紅燈,22.611724,120.305481
134,線圈數位,凱旋四路與中華五路口,西向東,50,前鎮,闖紅燈,22.593439,120.309497
135,線圈數位,中山三路與正勤路口,北向南,60/40,前鎮,闖紅燈,22.604418,120.309194
136,非線圈數位-雷射,中山四路地下道(北向南出口)(變換車道),北向南,60,前鎮,變換車道,22.583428,120.326496
137,非線圈數位-雷射,中山四路地下道(南向北出口)(變換車道),南向北,60,前鎮,變換車道,22.584517,120.32565
138,非線圈數位-雷射,凱旋四路與凱旋四路424巷口,西向東,40,前鎮,闖紅燈,22.594706,120.314746
139,非線圈數位-雷射,成功二路、興發路口,北向南,50,前鎮,闖紅燈,22.593822,120.30554
140,非線圈數位-雷射,中華五路與復興三路口,南向北,50,前鎮,闖紅燈,22.606278,120.304847
141,非線圈數位-雷射,中山四路與中平路口,北向南,40,前鎮,闖紅燈兼路口科技執法監測,22.580608,120.328819
142,非線圈數位-雷射(雷達),中山三路與凱旋四路,南向北,60,前鎮,闖紅燈兼超速,22.595958,120.316285
143,非線圈數位-雷達(雷射),中山四路與金福路口,北向南,50,前鎮,闖紅燈,22.576746,120.331922
144,非線圈數位-雷射,中山四路與中安路口,南向北,50,前鎮,闖紅燈兼路口科技執法監測,22.580268,120.329487
145,線圈數位,中山四路與鎮海路口,北向南,40,前鎮,闖紅燈,22.592764,120.318561
146,線圈數位,三多二路與桂林街口,西向東,50,前鎮,闖紅燈,22.617661,120.315796
147,非線圈數位-雷達(雷射),凱旋四路與籬仔內路口,南向北,50,前鎮,闖紅燈,22.603518,120.323735
148,非線圈數位-雷射(雷達),前鎮區草衙二路與金福路口,北向南,40,前鎮,闖紅燈,22.57210616,120.328035
149,非線圈數位-雷射(雷達),前鎮區成功二路與舊凱旋四路口,南向北,50,前鎮,闖紅燈,22.59286456,120.306013
150,非線圈數位-雷射(雷達),前鎮區凱旋四路與鎮興路口,東向西,50,前鎮,闖紅燈,22.59389014,120.3113958
151,非線圈數位-雷射(雷達),前鎮區舊凱旋四路與鎮興路口,西向東,50,前鎮,闖紅燈,22.5938516,120.310832
152,非線圈數位-雷射(雷達),前鎮區舊凱旋四路與前鎮街口,西向東,50,前鎮,闖紅燈,22.59286456,120.3075014
153,雷達數位,前鎮區新生高架道路0.82K,南向北,60,前鎮,超速,22.583642,120.309643
154,非線圈數位-雷射(雷達),前鎮區凱旋四路與前鎮街口(輕軌沿線) ,東向西,50/40,前鎮,闖紅燈,22.592747,120.308085
155,非線圈數位-雷射,前鎮區新生路與金福路口,北向南,50/40,前鎮,闖紅燈,22.5676844,120.3230391
156,線圈數位,前鎮區新生路與鎮州路口,南向北,50,前鎮,闖紅燈,22.587458,120.306635
157,雷達數位,高速公路(金福路)高架聯絡道南下（離金福路出口900公尺處),東向西,40,前鎮,超速,22.578004,120.326097
158,雷達數位,高速公路(金福路)高架聯絡道北上（離金福路出口500公尺處),南向北,40,前鎮,超速,22.575213,120.32594
159,非線圈數位-雷射,前鎮區班超路瑞祥高中前,北向南,50,前鎮,闖紅燈,22.601731,120.325349
160,雷達數位,美濃區美興街232號前(月光山隧道前方),南向北,50,美濃,超速,22.912997,120.536556
161,線圈數位,美濃區中山路二段359巷口,南向北,60,美濃,闖紅燈,22.896793,120.519852
162,雷達數位,美濃區復興街一段480號前,北向南,50/40,美濃,超速,22.870377,120.5492
163,非線圈數位-雷射(雷達),美濃區中華路(台28線)與獅山街口,東向西,60,美濃,闖紅燈兼超速,22.878003,120.570569
164,線圈數位,建國路與武廟路口,東向西,50,苓雅,闖紅燈,22.633484,120.321806
